 ,934780
e,476814
t,329354
a,316681
o,309777
n,260336
r,256633
i,250139
s,234786
h,233394
d,192826
l,167691
u,116648
g,100889
y,97093
w,90087
m,86803
c,80392
f,77032
.,76260
",",71755
p,61446
b,58479
k,45201
v,32743
H,32710
“,31136
”,30728
’,29705
I,16105
T,10886
S,10028
M,9855
?,8936
W,8754
D,8486
—,8374
R,8197
A,7744
P,7262
!,5656
G,5444
x,5315
-,5226
B,5187
F,4682
C,4485
N,4251
j,4181
Y,4030
L,3976
O,3853
z,3713
E,3516
q,3026
;,2915
K,1972
V,1958
U,1928
J,1184
:,817
Q,780
‘,370
),346
(,306
\,224
1,159
Z,123
"""",88
2,35
3,34
7,27
X,26
4,25
/,24
5,21
9,20
0,19
6,15
',14
8,13
],8
•,6
|,6
■,5
*,5
%,2
~,2
>,1
&,1
